S/N,Date,Branch,Pizza Sold,Price,Quantity,Sales Discount,Time,Time Range
2855,2020-10-26,France,BBQ Chicken,4000,1,0.05,16:10:33.600000,After 9:00am
2856,2020-08-25,Germany,Chicken Bali,2000,5,0.03,14:52:48,After 9:00am
2857,2020-05-18,France,Pepperoni Suya,3000,4,0.0,09:34:33.600000,After 9:00am
2858,2021-05-09,England,Veggie Supreme,3000,2,0.03,14:48:28.800000,After 9:00am
2859,2021-09-21,Spain,Chicken Legend,2000,1,0.07,14:32:38.400000,After 9:00am
2860,2022-01-09,England,Beef Suya,3000,3,0.0,17:52:48,After 9:00am
2861,2021-01-04,England,BBQ Philly Steak,4000,3,0.03,12:11:31.200000,After 9:00am
2862,2021-05-13,France,Margarita,4000,4,0.0,10:32:09.600000,After 9:00am
2863,2021-05-19,Italy,BBQ Philly Steak,4000,2,0.03,17:29:45.600000,After 9:00am
2864,2020-03-02,Spain,BBQ Philly Steak,4000,5,0.05,15:25:55.200000,After 9:00am
2865,2022-05-19,England,Hot Veggie,4000,2,0.0,12:07:12,After 9:00am
2866,2020-05-05,Spain,Pepperoni Feast,4000,2,0.0,17:05:16.800000,After 9:00am
2867,2020-04-28,France,Beef Suya,3000,5,0.1,17:31:12,After 9:00am
2868,2021-05-09,France,Chicken Feast,2000,1,0.07,13:40:48,After 9:00am
2869,2020-04-22,England,Beef Suya,3000,1,0.03,16:07:40.800000,After 9:00am
2870,2020-10-03,Spain,BBQ Chicken,4000,5,0.0,09:44:38.400000,After 9:00am
2871,2020-07-16,Italy,BBQ Philly Steak,4000,5,0.1,13:49:26.400000,After 9:00am
2872,2020-05-30,Germany,Chicken Bali,2000,1,0.03,17:21:07.200000,After 9:00am
2873,2020-03-02,France,Pepperoni Suya,3000,4,0.07,17:57:07.200000,After 9:00am
2874,2020-08-05,Spain,Chicken Suya,4000,1,0.05,14:16:48,After 9:00am
2875,2021-02-14,Italy,Chicken Bali,2000,5,0.07,14:05:16.800000,After 9:00am
2876,2022-02-16,Spain,Margarita,4000,3,0.0,13:40:48,After 9:00am
2877,2021-06-16,Spain,BBQ Philly Steak,4000,2,0.0,08:47:02.400000,After 9:00am
2878,2022-03-05,Germany,Chicken Feast,2000,2,0.05,17:05:16.800000,After 9:00am
2879,2022-06-09,Germany,Italiano,3000,1,0.05,14:45:36,After 9:00am
2880,2021-03-23,Spain,Veggie Supreme,3000,3,0.03,14:13:55.200000,After 9:00am
2881,2021-01-24,Germany,BBQ Philly Steak,4000,4,0.05,11:26:52.800000,After 9:00am
2882,2020-07-19,Italy,Hot Pepperoni Feast,4000,5,0.0,16:32:09.600000,After 9:00am
2883,2021-06-24,France,Chicken Legend,2000,3,0.07,10:03:21.600000,After 9:00am
2884,2022-05-27,Spain,Pepperoni Suya,3000,5,0.05,14:32:38.400000,After 9:00am
2885,2020-05-17,Italy,Chicken Feast,2000,3,0.05,14:42:43.200000,After 9:00am
2886,2021-07-01,Italy,Veggie Supreme,3000,5,0.05,08:29:45.600000,After 9:00am
2887,2021-04-02,England,Italiano,3000,2,0.05,10:40:48,After 9:00am
2888,2021-05-05,England,Pepperoni Feast,4000,5,0.03,10:55:12,After 9:00am
2889,2021-04-17,England,BBQ Philly Steak,4000,4,0.0,15:30:14.400000,After 9:00am
2890,2020-12-21,Italy,Beef Suya,3000,4,0.07,11:34:04.800000,After 9:00am
2891,2020-02-04,Germany,Margarita,4000,2,0.0,16:49:26.400000,After 9:00am
2892,2020-12-19,England,Extravaganza,2000,4,0.0,12:43:12,After 9:00am
2893,2021-10-27,England,Hot Pepperoni Feast,4000,3,0.0,13:03:21.600000,After 9:00am
2894,2021-05-29,France,BBQ Chicken,4000,1,0.0,10:12:00,After 9:00am
2895,2020-12-20,Italy,BBQ Philly Steak,4000,1,0.0,16:06:14.400000,After 9:00am
2896,2020-08-09,Germany,BBQ Chicken,4000,2,0.05,10:00:28.800000,After 9:00am
2897,2021-05-12,Italy,Chicken Suya,4000,3,0.03,09:57:36,After 9:00am
2898,2022-03-17,Germany,Chicken Suya,4000,2,0.07,08:18:14.400000,After 9:00am
2899,2020-10-23,Italy,Hot Veggie,4000,5,0.1,11:48:28.800000,After 9:00am
2900,2020-10-27,Spain,Pepperoni Feast,4000,3,0.1,15:04:19.200000,After 9:00am
2901,2020-05-10,England,Extravaganza,2000,3,0.1,16:23:31.200000,After 9:00am
2902,2022-05-17,France,Meatzaa,2000,2,0.0,15:00:00,After 9:00am
2903,2020-12-12,Spain,BBQ Philly Steak,4000,1,0.03,15:47:31.200000,After 9:00am
2904,2022-03-02,France,Italiano,3000,1,0.05,11:36:57.600000,After 9:00am
2905,2020-09-13,England,Italiano,3000,4,0.0,13:24:57.600000,After 9:00am
2906,2020-02-21,Spain,Italiano,3000,5,0.1,12:25:55.200000,After 9:00am
2907,2021-02-24,England,BBQ Philly Steak,4000,5,0.07,14:22:33.600000,After 9:00am
2908,2020-11-15,Spain,Beef Suya,3000,3,0.0,17:48:28.800000,After 9:00am
2909,2020-10-16,Italy,Chicken Feast,2000,2,0.07,13:37:55.200000,After 9:00am
2910,2020-12-07,Germany,Margarita,4000,2,0.0,15:24:28.800000,After 9:00am
2911,2021-11-16,France,Hot Pepperoni Feast,4000,4,0.1,09:50:24,After 9:00am
2912,2020-10-25,Spain,Veggie Supreme,3000,2,0.05,10:42:14.400000,After 9:00am
2913,2020-03-04,Germany,Extravaganza,2000,2,0.05,17:08:09.600000,After 9:00am
2914,2020-08-27,France,Veggie Supreme,3000,2,0.07,14:51:21.600000,After 9:00am
2915,2021-10-18,Germany,Italiano,3000,2,0.0,10:48:00,After 9:00am
2916,2021-08-25,Italy,Chicken Bali,2000,2,0.05,10:46:33.600000,After 9:00am
2917,2022-06-10,Spain,Margarita,4000,5,0.05,10:23:31.200000,After 9:00am
2918,2021-06-21,Spain,Chicken Bali,2000,1,0.0,15:56:09.600000,After 9:00am
2919,2021-02-19,Germany,Margarita,4000,4,0.05,10:22:04.800000,After 9:00am
2920,2020-12-03,Spain,Pepperoni Suya,3000,2,0.03,14:03:50.400000,After 9:00am
2921,2021-07-06,France,Chicken Suya,4000,4,0.0,08:58:33.600000,After 9:00am
2922,2022-02-04,Spain,Hot Veggie,4000,1,0.05,09:07:12,After 9:00am
2923,2022-05-11,Germany,Chicken Feast,2000,4,0.07,12:12:57.600000,After 9:00am
2924,2021-09-01,Spain,Hot Veggie,4000,3,0.05,15:50:24,After 9:00am
2925,2021-09-14,Spain,Chicken Legend,2000,1,0.05,17:15:21.600000,After 9:00am
2926,2021-07-21,France,Chicken Feast,2000,3,0.0,17:57:07.200000,After 9:00am
2927,2020-08-09,Germany,Chicken Suya,4000,2,0.0,17:47:02.400000,After 9:00am
2928,2021-05-13,England,Extravaganza,2000,5,0.0,09:37:26.400000,After 9:00am
2929,2020-11-22,Italy,Hot Pepperoni Feast,4000,2,0.0,09:24:28.800000,After 9:00am
2930,2021-05-01,Germany,Pepperoni Feast,4000,3,0.03,14:42:43.200000,After 9:00am
2931,2020-09-20,England,Pepperoni Feast,4000,3,0.0,08:38:24,After 9:00am
2932,2022-04-04,France,Hot Veggie,4000,2,0.0,11:22:33.600000,After 9:00am
2933,2020-02-02,England,Italiano,3000,2,0.05,13:35:02.400000,After 9:00am
2934,2020-12-16,England,Meatzaa,2000,2,0.05,13:49:26.400000,After 9:00am
2935,2020-09-19,France,Beef Suya,3000,1,0.0,16:43:40.800000,After 9:00am
2936,2020-01-31,Spain,Pepperoni Suya,3000,3,0.0,11:52:48,After 9:00am
2937,2021-03-08,Italy,Chicken Feast,2000,1,0.07,15:24:28.800000,After 9:00am
2938,2020-11-03,England,Margarita,4000,2,0.05,09:37:26.400000,After 9:00am
2939,2020-03-20,Italy,Extravaganza,2000,3,0.1,17:19:40.800000,After 9:00am
2940,2021-08-09,France,Hot Veggie,4000,1,0.07,13:17:45.600000,After 9:00am
2941,2021-05-26,Spain,Extravaganza,2000,3,0.05,16:09:07.200000,After 9:00am
2942,2021-07-22,Italy,BBQ Philly Steak,4000,5,0.07,12:41:45.600000,After 9:00am
2943,2022-04-12,England,Chicken Suya,4000,3,0.0,13:13:26.400000,After 9:00am
2944,2022-03-22,Germany,BBQ Philly Steak,4000,4,0.03,08:38:24,After 9:00am
2945,2021-09-29,Italy,Hot Veggie,4000,3,0.05,08:32:38.400000,After 9:00am
2946,2020-12-05,England,Chicken Legend,2000,2,0.0,08:54:14.400000,After 9:00am
2947,2021-01-13,England,Chicken Feast,2000,3,0.05,15:05:45.600000,After 9:00am
2948,2022-01-24,Italy,Hot Veggie,4000,3,0.0,14:47:02.400000,After 9:00am
2949,2022-03-12,England,Veggie Supreme,3000,4,0.0,10:36:28.800000,After 9:00am
2950,2021-11-23,Germany,Extravaganza,2000,2,0.03,12:54:43.200000,After 9:00am
2951,2020-06-30,England,BBQ Chicken,4000,5,0.03,16:00:28.800000,After 9:00am
2952,2021-06-05,Spain,Pepperoni Suya,3000,3,0.0,12:59:02.400000,After 9:00am
2953,2020-10-16,Spain,Italiano,3000,4,0.07,08:16:48,After 9:00am
2954,2022-03-11,Spain,Chicken Suya,4000,1,0.07,09:48:57.600000,After 9:00am
2955,2020-09-17,Italy,Pepperoni Suya,3000,4,0.05,10:16:19.200000,After 9:00am
2956,2021-01-07,Spain,Extravaganza,2000,4,0.0,10:33:36,After 9:00am
2957,2022-03-19,Germany,Chicken Suya,4000,1,0.03,14:48:28.800000,After 9:00am
2958,2021-04-12,England,Pepperoni Suya,3000,1,0.0,10:01:55.200000,After 9:00am
2959,2021-08-19,France,Pepperoni Feast,4000,5,0.0,15:30:14.400000,After 9:00am
2960,2021-12-10,Spain,Pepperoni Suya,3000,2,0.0,16:40:48,After 9:00am
2961,2022-01-02,England,Chicken Suya,4000,1,0.05,08:47:02.400000,After 9:00am
2962,2021-11-23,England,Hot Pepperoni Feast,4000,2,0.0,13:26:24,After 9:00am
2963,2020-06-16,England,Chicken Bali,2000,2,0.05,13:43:40.800000,After 9:00am
2964,2020-10-30,England,Italiano,3000,3,0.03,12:31:40.800000,After 9:00am
2965,2020-01-16,Germany,Meatzaa,2000,3,0.05,13:01:55.200000,After 9:00am
2966,2020-11-25,England,Veggie Supreme,3000,4,0.05,17:11:02.400000,After 9:00am
2967,2021-03-13,England,Pepperoni Suya,3000,3,0.07,10:06:14.400000,After 9:00am
2968,2022-03-06,Italy,Chicken Legend,2000,1,0.1,14:28:19.200000,After 9:00am
2969,2020-04-04,Italy,Pepperoni Suya,3000,5,0.0,09:00:00,After 9:00am
2970,2022-01-11,England,Beef Suya,3000,2,0.03,14:34:04.800000,After 9:00am
2971,2020-07-07,Spain,Extravaganza,2000,4,0.05,13:14:52.800000,After 9:00am
2972,2021-11-03,England,Extravaganza,2000,3,0.05,11:58:33.600000,After 9:00am
2973,2022-06-18,Spain,BBQ Chicken,4000,3,0.1,10:29:16.800000,After 9:00am
2974,2020-06-12,Spain,Italiano,3000,1,0.0,17:19:40.800000,After 9:00am
2975,2021-06-18,France,Beef Suya,3000,5,0.1,09:30:14.400000,After 9:00am
2976,2021-06-04,Spain,Chicken Legend,2000,5,0.05,15:40:19.200000,After 9:00am
2977,2020-07-15,England,Chicken Legend,2000,2,0.05,11:08:09.600000,After 9:00am
2978,2020-02-16,Germany,Meatzaa,2000,2,0.03,12:41:45.600000,After 9:00am
2979,2021-07-26,Italy,Hot Veggie,4000,3,0.0,08:54:14.400000,After 9:00am
2980,2021-01-28,Spain,Italiano,3000,3,0.0,15:24:28.800000,After 9:00am
2981,2020-06-27,England,Chicken Bali,2000,4,0.03,13:03:21.600000,After 9:00am
2982,2020-11-06,Italy,Chicken Legend,2000,3,0.07,09:21:36,After 9:00am
2983,2021-01-11,England,Hot Veggie,4000,4,0.05,17:36:57.600000,After 9:00am
2984,2021-07-12,France,Chicken Bali,2000,5,0.05,11:39:50.400000,After 9:00am
2985,2021-10-13,England,BBQ Philly Steak,4000,4,0.0,15:44:38.400000,After 9:00am
2986,2022-02-25,England,Hot Veggie,4000,2,0.0,16:56:38.400000,After 9:00am
2987,2022-06-05,Italy,Chicken Feast,2000,4,0.05,10:26:24,After 9:00am
2988,2021-10-20,England,Margarita,4000,5,0.0,14:47:02.400000,After 9:00am
2989,2020-08-15,England,Chicken Feast,2000,5,0.05,09:20:09.600000,After 9:00am
2990,2022-03-09,Italy,Chicken Bali,2000,5,0.05,14:06:43.200000,After 9:00am
2991,2020-06-11,Italy,BBQ Chicken,4000,5,0.0,09:08:38.400000,After 9:00am
2992,2020-02-06,France,BBQ Chicken,4000,1,0.03,13:12:00,After 9:00am
2993,2022-05-23,Italy,Hot Pepperoni Feast,4000,1,0.03,09:56:09.600000,After 9:00am
2994,2020-04-05,Spain,BBQ Chicken,4000,2,0.0,08:39:50.400000,After 9:00am
2995,2021-04-07,Germany,Chicken Feast,2000,5,0.0,15:25:55.200000,After 9:00am
2996,2022-05-27,England,Italiano,3000,3,0.0,08:38:24,After 9:00am
2997,2020-07-31,Germany,BBQ Chicken,4000,1,0.0,14:51:21.600000,After 9:00am
2998,2022-05-19,Germany,Chicken Suya,4000,4,0.1,10:46:33.600000,After 9:00am
2999,2020-01-18,Italy,Hot Veggie,4000,2,0.0,14:24:00,After 9:00am
3000,2021-11-12,Germany,Extravaganza,2000,2,0.1,18:00:00,After 9:00am
3001,2020-11-07,Spain,Chicken Bali,2000,3,0.03,08:42:43.200000,After 9:00am
3002,2021-11-16,England,Italiano,3000,4,0.0,08:45:36,After 9:00am
3003,2022-06-24,France,Chicken Suya,4000,3,0.1,16:01:55.200000,After 9:00am
3004,2020-09-28,Spain,BBQ Chicken,4000,5,0.0,11:06:43.200000,After 9:00am
3005,2020-10-18,Italy,Meatzaa,2000,3,0.03,08:41:16.800000,After 9:00am
3006,2020-12-30,Italy,Italiano,3000,5,0.1,14:45:36,After 9:00am
3007,2022-02-06,Spain,BBQ Philly Steak,4000,5,0.0,14:35:31.200000,After 9:00am
3008,2020-03-06,Germany,BBQ Chicken,4000,3,0.05,09:31:40.800000,After 9:00am
3009,2022-02-23,Germany,Hot Veggie,4000,3,0.0,09:28:48,After 9:00am
3010,2020-06-01,England,Hot Veggie,4000,5,0.0,10:52:19.200000,After 9:00am
3011,2021-04-25,Spain,Chicken Bali,2000,3,0.03,10:49:26.400000,After 9:00am
3012,2022-02-27,Germany,Margarita,4000,5,0.07,16:58:04.800000,After 9:00am
3013,2021-08-06,Spain,Hot Pepperoni Feast,4000,3,0.0,15:50:24,After 9:00am
3014,2021-10-06,Germany,Pepperoni Suya,3000,4,0.05,13:30:43.200000,After 9:00am
3015,2020-02-12,Germany,Pepperoni Feast,4000,2,0.0,17:57:07.200000,After 9:00am
3016,2020-02-04,Italy,Hot Veggie,4000,5,0.0,16:03:21.600000,After 9:00am
3017,2021-03-14,Italy,Beef Suya,3000,2,0.1,11:54:14.400000,After 9:00am
3018,2020-01-11,Italy,Chicken Suya,4000,4,0.1,15:21:36,After 9:00am
3019,2021-08-11,Italy,Extravaganza,2000,4,0.05,09:44:38.400000,After 9:00am
3020,2021-04-05,France,Pepperoni Feast,4000,3,0.05,14:29:45.600000,After 9:00am
3021,2021-04-12,England,Veggie Supreme,3000,4,0.03,09:27:21.600000,After 9:00am
3022,2021-06-06,Germany,Pepperoni Suya,3000,3,0.1,16:16:19.200000,After 9:00am
3023,2021-11-21,Germany,Hot Pepperoni Feast,4000,3,0.0,10:46:33.600000,After 9:00am
3024,2020-04-21,Spain,Chicken Bali,2000,1,0.03,10:23:31.200000,After 9:00am
3025,2020-02-20,England,Hot Pepperoni Feast,4000,5,0.1,11:28:19.200000,After 9:00am
3026,2021-10-15,Spain,Extravaganza,2000,3,0.0,10:29:16.800000,After 9:00am
3027,2020-12-27,England,Pepperoni Feast,4000,3,0.0,11:22:33.600000,After 9:00am
3028,2021-01-20,Spain,Margarita,4000,1,0.05,11:38:24,After 9:00am
3029,2022-04-06,Germany,Italiano,3000,5,0.05,15:46:04.800000,After 9:00am
3030,2022-02-19,France,Veggie Supreme,3000,3,0.1,15:36:00,After 9:00am
3031,2020-01-31,Italy,Pepperoni Feast,4000,4,0.03,10:23:31.200000,After 9:00am
3032,2021-12-25,Spain,BBQ Chicken,4000,5,0.0,10:55:12,After 9:00am
3033,2021-07-24,Spain,Veggie Supreme,3000,2,0.0,17:26:52.800000,After 9:00am
3034,2021-12-08,France,Chicken Suya,4000,3,0.0,14:19:40.800000,After 9:00am
3035,2020-05-21,Italy,Hot Veggie,4000,4,0.07,10:36:28.800000,After 9:00am
3036,2022-05-08,England,Extravaganza,2000,2,0.07,12:33:07.200000,After 9:00am
3037,2020-10-22,Italy,Hot Veggie,4000,2,0.05,12:48:57.600000,After 9:00am
3038,2021-10-10,England,BBQ Chicken,4000,2,0.0,14:12:28.800000,After 9:00am
3039,2020-04-20,Spain,Chicken Legend,2000,4,0.05,17:16:48,After 9:00am
3040,2021-05-23,France,Pepperoni Feast,4000,3,0.05,15:24:28.800000,After 9:00am
3041,2020-03-02,Germany,Chicken Legend,2000,3,0.0,13:12:00,After 9:00am
3042,2020-09-07,France,Extravaganza,2000,4,0.03,15:20:09.600000,After 9:00am
3043,2020-06-05,England,Chicken Suya,4000,5,0.07,11:55:40.800000,After 9:00am
3044,2020-03-31,Germany,Extravaganza,2000,5,0.05,15:18:43.200000,After 9:00am
3045,2022-02-01,Italy,Hot Pepperoni Feast,4000,5,0.03,08:09:36,After 9:00am
3046,2020-03-30,Germany,Meatzaa,2000,1,0.07,11:05:16.800000,After 9:00am
3047,2020-04-09,Germany,Pepperoni Suya,3000,4,0.1,15:40:19.200000,After 9:00am
3048,2021-12-11,Italy,BBQ Philly Steak,4000,4,0.05,08:13:55.200000,After 9:00am
3049,2021-01-20,Italy,Chicken Bali,2000,5,0.0,13:48:00,After 9:00am
3050,2021-01-01,Spain,Chicken Suya,4000,2,0.03,12:38:52.800000,After 9:00am
3051,2021-08-12,Spain,BBQ Philly Steak,4000,3,0.03,12:14:24,After 9:00am
3052,2020-05-14,Italy,Meatzaa,2000,3,0.05,13:00:28.800000,After 9:00am
3053,2021-03-29,Spain,Pepperoni Feast,4000,5,0.0,15:08:38.400000,After 9:00am
3054,2022-02-22,France,Beef Suya,3000,5,0.05,17:25:26.400000,After 9:00am
3055,2022-03-25,Italy,Hot Veggie,4000,1,0.0,13:06:14.400000,After 9:00am
3056,2021-03-17,Italy,Extravaganza,2000,5,0.05,12:31:40.800000,After 9:00am
3057,2020-10-24,England,BBQ Philly Steak,4000,1,0.03,11:28:19.200000,After 9:00am
3058,2022-01-22,England,Chicken Suya,4000,4,0.03,12:38:52.800000,After 9:00am
3059,2022-01-08,England,Veggie Supreme,3000,1,0.0,08:18:14.400000,After 9:00am
3060,2021-09-08,Spain,Beef Suya,3000,5,0.0,12:18:43.200000,After 9:00am
3061,2020-11-30,Germany,Beef Suya,3000,2,0.0,08:48:28.800000,After 9:00am
3062,2021-10-20,France,Chicken Legend,2000,4,0.0,08:19:40.800000,After 9:00am
3063,2020-05-06,France,BBQ Chicken,4000,2,0.03,16:20:38.400000,After 9:00am
3064,2022-06-10,England,Chicken Feast,2000,2,0.03,08:48:28.800000,After 9:00am
3065,2021-06-27,Italy,Extravaganza,2000,5,0.0,09:05:45.600000,After 9:00am
3066,2022-02-27,Germany,Pepperoni Suya,3000,4,0.07,08:00:57.600000,After 9:00am
3067,2021-10-14,France,BBQ Philly Steak,4000,3,0.03,17:18:14.400000,After 9:00am
3068,2022-03-01,France,BBQ Chicken,4000,2,0.05,08:08:09.600000,After 9:00am
3069,2022-01-12,England,Chicken Legend,2000,5,0.0,09:00:00,After 9:00am
3070,2020-01-18,Spain,Extravaganza,2000,2,0.1,17:05:16.800000,After 9:00am
3071,2020-07-12,Germany,Pepperoni Feast,4000,5,0.05,11:29:45.600000,After 9:00am
3072,2020-04-29,Germany,Chicken Bali,2000,5,0.1,09:14:24,After 9:00am
3073,2021-01-14,Italy,Hot Veggie,4000,1,0.07,10:20:38.400000,After 9:00am
3074,2020-12-04,France,Pepperoni Feast,4000,5,0.03,09:44:38.400000,After 9:00am
3075,2022-04-24,Germany,Italiano,3000,3,0.03,14:58:33.600000,After 9:00am
3076,2022-04-26,England,Beef Suya,3000,1,0.07,10:09:07.200000,After 9:00am
3077,2021-04-21,Germany,Chicken Suya,4000,2,0.05,10:12:00,After 9:00am
3078,2020-08-11,Spain,Beef Suya,3000,2,0.03,09:41:45.600000,After 9:00am
3079,2020-08-31,France,Chicken Feast,2000,2,0.07,12:20:09.600000,After 9:00am
3080,2020-09-23,Italy,Veggie Supreme,3000,3,0.0,10:52:19.200000,After 9:00am
3081,2020-12-21,France,Hot Veggie,4000,5,0.0,17:09:36,After 9:00am
3082,2021-09-15,France,Pepperoni Suya,3000,2,0.0,17:47:02.400000,After 9:00am
3083,2022-06-22,Italy,Hot Veggie,4000,5,0.05,12:24:28.800000,After 9:00am
3084,2022-04-26,Italy,Chicken Bali,2000,2,0.05,15:27:21.600000,After 9:00am
3085,2020-05-08,France,Margarita,4000,1,0.0,09:44:38.400000,After 9:00am
3086,2022-01-14,Germany,Beef Suya,3000,1,0.1,15:28:48,After 9:00am
3087,2020-10-22,England,Pepperoni Feast,4000,1,0.07,08:34:04.800000,After 9:00am
3088,2021-07-25,Spain,Pepperoni Feast,4000,5,0.05,11:42:43.200000,After 9:00am
3089,2020-12-05,Germany,Margarita,4000,4,0.03,13:13:26.400000,After 9:00am
3090,2020-01-18,Spain,Pepperoni Feast,4000,1,0.03,15:57:36,After 9:00am
3091,2021-04-10,England,BBQ Philly Steak,4000,4,0.05,08:35:31.200000,After 9:00am
3092,2020-10-01,England,Italiano,3000,4,0.0,08:45:36,After 9:00am
3093,2022-05-29,Italy,Pepperoni Feast,4000,1,0.05,17:58:33.600000,After 9:00am
3094,2020-04-22,England,Chicken Feast,2000,4,0.0,15:27:21.600000,After 9:00am
3095,2020-08-17,France,Pepperoni Feast,4000,3,0.07,13:09:07.200000,After 9:00am
3096,2020-06-05,England,BBQ Philly Steak,4000,4,0.03,10:13:26.400000,After 9:00am
3097,2021-06-28,England,Italiano,3000,4,0.03,08:02:24,After 9:00am
3098,2022-04-25,Italy,Hot Pepperoni Feast,4000,4,0.1,11:16:48,After 9:00am
3099,2020-12-19,England,Beef Suya,3000,5,0.0,11:41:16.800000,After 9:00am
3100,2021-12-01,Italy,Chicken Bali,2000,4,0.0,11:39:50.400000,After 9:00am
3101,2021-02-25,Germany,Veggie Supreme,3000,2,0.05,16:17:45.600000,After 9:00am
3102,2021-12-04,Germany,Chicken Legend,2000,4,0.1,15:07:12,After 9:00am
3103,2020-02-27,Italy,Pepperoni Suya,3000,3,0.03,15:30:14.400000,After 9:00am
3104,2020-05-28,Germany,Meatzaa,2000,4,0.03,17:41:16.800000,After 9:00am
3105,2022-05-23,England,BBQ Philly Steak,4000,4,0.0,12:18:43.200000,After 9:00am
3106,2020-11-28,Italy,Hot Pepperoni Feast,4000,5,0.05,08:32:38.400000,After 9:00am
3107,2020-11-22,England,Beef Suya,3000,2,0.07,16:27:50.400000,After 9:00am
3108,2020-09-22,France,Pepperoni Feast,4000,2,0.05,09:01:26.400000,After 9:00am
3109,2021-12-22,Germany,Meatzaa,2000,1,0.05,14:38:24,After 9:00am
3110,2020-05-24,England,Pepperoni Suya,3000,3,0.0,16:19:12,After 9:00am
3111,2021-06-30,England,Veggie Supreme,3000,4,0.05,16:42:14.400000,After 9:00am
3112,2020-10-16,France,Meatzaa,2000,1,0.1,15:15:50.400000,After 9:00am
3113,2020-08-03,Italy,BBQ Chicken,4000,2,0.05,10:36:28.800000,After 9:00am
3114,2021-08-08,Germany,Chicken Suya,4000,1,0.1,17:08:09.600000,After 9:00am
3115,2021-06-17,France,Hot Veggie,4000,5,0.1,11:48:28.800000,After 9:00am
3116,2020-10-03,Spain,Extravaganza,2000,5,0.0,14:57:07.200000,After 9:00am
3117,2021-10-10,Spain,Chicken Legend,2000,1,0.0,11:44:09.600000,After 9:00am
3118,2022-05-16,Germany,Hot Veggie,4000,2,0.05,09:34:33.600000,After 9:00am
3119,2020-09-26,France,Beef Suya,3000,4,0.03,14:34:04.800000,After 9:00am
3120,2021-11-21,England,BBQ Chicken,4000,3,0.05,17:29:45.600000,After 9:00am
3121,2020-08-04,Italy,Hot Pepperoni Feast,4000,5,0.05,12:40:19.200000,After 9:00am
3122,2021-02-03,Italy,Italiano,3000,1,0.05,11:16:48,After 9:00am
3123,2020-07-27,Italy,Veggie Supreme,3000,5,0.0,17:12:28.800000,After 9:00am
3124,2020-08-15,England,BBQ Chicken,4000,3,0.0,09:05:45.600000,After 9:00am
3125,2021-08-03,France,Beef Suya,3000,1,0.05,14:24:00,After 9:00am
3126,2021-12-30,Spain,Chicken Feast,2000,2,0.03,11:08:09.600000,After 9:00am
3127,2021-02-18,France,BBQ Philly Steak,4000,1,0.0,14:58:33.600000,After 9:00am
3128,2021-11-14,Spain,BBQ Philly Steak,4000,2,0.1,12:50:24,After 9:00am
3129,2021-03-10,France,Meatzaa,2000,3,0.03,10:43:40.800000,After 9:00am
3130,2021-01-30,Spain,Extravaganza,2000,1,0.03,08:11:02.400000,After 9:00am
3131,2022-05-11,Italy,Hot Veggie,4000,5,0.0,08:08:09.600000,After 9:00am
3132,2021-01-07,Italy,Chicken Suya,4000,5,0.0,14:25:26.400000,After 9:00am
3133,2021-10-16,England,Extravaganza,2000,5,0.05,17:35:31.200000,After 9:00am
3134,2021-12-18,Germany,Extravaganza,2000,5,0.03,13:06:14.400000,After 9:00am
3135,2020-04-18,France,Pepperoni Suya,3000,5,0.03,15:44:38.400000,After 9:00am
3136,2020-10-29,France,Margarita,4000,1,0.05,08:26:52.800000,After 9:00am
3137,2020-09-02,France,Hot Veggie,4000,1,0.05,09:40:19.200000,After 9:00am
3138,2021-12-10,Spain,Pepperoni Suya,3000,2,0.0,08:25:26.400000,After 9:00am
3139,2020-10-23,France,Pepperoni Suya,3000,3,0.03,17:22:33.600000,After 9:00am
3140,2020-07-27,England,Hot Pepperoni Feast,4000,2,0.05,11:35:31.200000,After 9:00am
3141,2020-05-08,Spain,Chicken Bali,2000,1,0.05,08:24:00,After 9:00am
3142,2022-06-18,Germany,Margarita,4000,3,0.0,17:45:36,After 9:00am
3143,2020-02-07,England,Extravaganza,2000,5,0.0,09:25:55.200000,After 9:00am
3144,2020-01-11,France,BBQ Philly Steak,4000,3,0.03,12:53:16.800000,After 9:00am
3145,2021-11-27,Italy,Chicken Suya,4000,5,0.0,14:34:04.800000,After 9:00am
3146,2021-10-24,Germany,Chicken Legend,2000,2,0.0,15:43:12,After 9:00am
3147,2020-09-12,Spain,Veggie Supreme,3000,2,0.0,12:02:52.800000,After 9:00am
3148,2020-12-27,Italy,Beef Suya,3000,1,0.1,09:10:04.800000,After 9:00am
3149,2022-02-07,England,Margarita,4000,1,0.1,13:10:33.600000,After 9:00am
3150,2021-02-02,England,Chicken Feast,2000,2,0.0,16:03:21.600000,After 9:00am
3151,2021-03-15,Italy,Meatzaa,2000,3,0.07,16:10:33.600000,After 9:00am
3152,2021-07-29,France,Margarita,4000,1,0.07,12:54:43.200000,After 9:00am
3153,2021-06-22,England,Extravaganza,2000,2,0.0,10:17:45.600000,After 9:00am
3154,2021-05-30,Italy,Chicken Feast,2000,2,0.0,16:01:55.200000,After 9:00am
3155,2020-11-14,England,Chicken Suya,4000,5,0.05,14:02:24,After 9:00am
3156,2022-03-20,Spain,Margarita,4000,3,0.1,11:09:36,After 9:00am
3157,2020-10-21,Spain,Beef Suya,3000,4,0.05,11:42:43.200000,After 9:00am
3158,2020-04-15,Italy,BBQ Philly Steak,4000,1,0.05,09:38:52.800000,After 9:00am
